Balloon filename (gpx),station,expected timeframe
SMT\_20220630\_231835.gpx,13,2022-07-01 00:23:23+00:00 till 2022-07-01 00:45:28+00:00
SMT\_20220630\_231835.gpx,22,2022-07-01 00:17:04+00:00 till 2022-07-01 00:40:11+00:00
SMT\_20220630\_231835.gpx,23,2022-07-01 00:21:11+00:00 till 2022-07-01 00:39:32+00:00
SMT\_20220630\_231835.gpx,24,2022-07-01 00:26:47+00:00 till 2022-07-01 00:37:45+00:00
SMT\_20220807\_231525.gpx,11,2022-08-07 23:18:24+00:00 till 2022-08-07 23:19:22+00:00
SMT\_20220727\_232120.gpx,21,2022-07-27 23:24:29+00:00 till 2022-07-27 23:25:46+00:00
SMT\_20220727\_232120.gpx,22,2022-07-27 23:27:22+00:00 till 2022-07-27 23:27:30+00:00
SMT\_20220727\_232120.gpx,23,2022-07-27 23:31:39+00:00 till 2022-07-27 23:32:39+00:00
SMT\_20220727\_232120.gpx,24,2022-07-27 23:33:29+00:00 till 2022-07-27 23:36:31+00:00
SMT\_20220707\_112434.gpx,21,2022-07-07 12:23:11+00:00 till 2022-07-07 12:49:22+00:00
SMT\_20220707\_112434.gpx,12,2022-07-07 12:31:06+00:00 till 2022-07-07 12:49:22+00:00
SMT\_20220707\_112434.gpx,11,2022-07-07 12:28:16+00:00 till 2022-07-07 12:49:22+00:00
SMT\_20220707\_112434.gpx,13,2022-07-07 12:34:19+00:00 till 2022-07-07 12:49:22+00:00
SMT\_20220707\_112434.gpx,22,2022-07-07 12:26:02+00:00 till 2022-07-07 12:49:22+00:00
SMT\_20220707\_112434.gpx,23,2022-07-07 12:32:01+00:00 till 2022-07-07 12:49:22+00:00
SMT\_20220707\_112434.gpx,24,2022-07-07 12:37:10+00:00 till 2022-07-07 12:49:22+00:00
SMT\_20220617\_231459.gpx,22,2022-06-17 23:17:36+00:00 till 2022-06-17 23:17:58+00:00
SMT\_20220826\_231852.gpx,23,2022-08-26 23:26:43+00:00 till 2022-08-26 23:28:19+00:00
SMT\_20220826\_231852.gpx,24,2022-08-26 23:28:41+00:00 till 2022-08-26 23:30:12+00:00
SMT\_20220828\_111632.gpx,22,2022-08-28 11:21:14+00:00 till 2022-08-28 11:23:09+00:00
SMT\_20220828\_111632.gpx,23,2022-08-28 11:24:07+00:00 till 2022-08-28 11:25:44+00:00
SMT\_20220828\_111632.gpx,24,2022-08-28 11:26:44+00:00 till 2022-08-28 11:28:09+00:00
SMT\_20220623\_231633.gpx,13,2022-06-23 23:29:11+00:00 till 2022-06-23 23:31:38+00:00
SMT\_20220623\_231633.gpx,22,2022-06-23 23:23:06+00:00 till 2022-06-23 23:26:51+00:00
SMT\_20220807\_111547.gpx,12,2022-08-07 11:22:02+00:00 till 2022-08-07 11:22:59+00:00
SMT\_20220807\_111547.gpx,13,2022-08-07 11:26:06+00:00 till 2022-08-07 11:27:55+00:00
SMT\_20220624\_111844.gpx,12,2022-06-24 11:33:01+00:00 till 2022-06-24 11:33:33+00:00
SMT\_20220624\_111844.gpx,13,2022-06-24 11:33:25+00:00 till 2022-06-24 11:35:11+00:00
SMT\_20220624\_111844.gpx,22,2022-06-24 11:31:13+00:00 till 2022-06-24 11:33:06+00:00
SMT\_20220929\_111540.gpx,12,2022-09-29 11:19:52+00:00 till 2022-09-29 11:20:48+00:00
SMT\_20220720\_111442.gpx,21,2022-07-20 11:28:20+00:00 till 2022-07-20 11:34:28+00:00
SMT\_20220720\_111442.gpx,22,2022-07-20 11:32:55+00:00 till 2022-07-20 11:49:29+00:00
SMT\_20220720\_111442.gpx,23,2022-07-20 11:37:02+00:00 till 2022-07-20 12:04:15+00:00
SMT\_20220720\_111442.gpx,24,2022-07-20 11:44:43+00:00 till 2022-07-20 12:12:56+00:00
SMT\_20220829\_111459.gpx,21,2022-08-29 11:15:53+00:00 till 2022-08-29 11:15:59+00:00
SMT\_20220829\_111459.gpx,23,2022-08-29 11:18:35+00:00 till 2022-08-29 11:19:05+00:00
SMT\_20220829\_111459.gpx,24,2022-08-29 11:19:44+00:00 till 2022-08-29 11:20:20+00:00
SMT\_20220705\_113009.gpx,21,2022-07-05 12:48:04+00:00 till 2022-07-05 12:53:24+00:00
SMT\_20220705\_113009.gpx,11,2022-07-05 12:50:13+00:00 till 2022-07-05 12:53:24+00:00
SMT\_20220817\_111600.gpx,21,2022-08-17 11:20:21+00:00 till 2022-08-17 11:35:09+00:00
SMT\_20220817\_111600.gpx,11,2022-08-17 11:27:50+00:00 till 2022-08-17 11:30:32+00:00
SMT\_20220904\_111459.gpx,21,2022-09-04 11:16:45+00:00 till 2022-09-04 11:18:39+00:00
SMT\_20220904\_111459.gpx,22,2022-09-04 11:20:46+00:00 till 2022-09-04 11:21:55+00:00
SMT\_20220904\_111459.gpx,23,2022-09-04 11:22:57+00:00 till 2022-09-04 11:24:53+00:00
SMT\_20220904\_111459.gpx,24,2022-09-04 11:24:58+00:00 till 2022-09-04 11:25:49+00:00
SMT\_20220928\_111604.gpx,12,2022-09-28 11:37:02+00:00 till 2022-09-28 11:38:16+00:00
SMT\_20220928\_111604.gpx,11,2022-09-28 11:33:16+00:00 till 2022-09-28 11:36:59+00:00
SMT\_20220930\_231507.gpx,13,2022-09-30 23:19:10+00:00 till 2022-09-30 23:19:35+00:00
